NAME,ID,MATCH
Aleut alone,1368,
Aleut alone or in any combination,2570,
Aleut Corporation alone,1369,
Aleut Corporation alone or in any combination,2571,
Alexander alone,1370,
Alexander alone or in any combination,2572,
Alexandria Band alone,2256,
Alexandria Band alone or in any combination,3458,
Algaaciq Native Village (St. Mary's) alone,1371,
Algaaciq Native Village (St. Mary's) alone or in any combination,2573,
Algerian alone,1072,
Algerian alone or in any combination,1183,
Algonquian alone,1640,
Algonquian alone or in any combination,2842,
Algonquins of Barriere Lake alone,2257,
Algonquins of Barriere Lake alone or in any combination,3459,
"All other Hispanic, Latino, or Spanish responses alone",3983,
"All other Hispanic, Latino, or Spanish responses alone or in any combination",4009,
Allakaket Village alone,1372,
Allakaket Village alone or in any combination,2574,
Allegheny Lenape alone,1641,
Allegheny Lenape alone or in any combination,2843,
Alpine alone,1642,
Alpine alone or in any combination,2844,
Alsatian alone,1004,
Alsatian alone or in any combination,1115,
Alsea alone,1643,
Alsea alone or in any combination,2845,
Alturas Indian Rancheria alone,1644,
Alturas Indian Rancheria alone or in any combination,2846,
Alutiiq alone,1373,
Alutiiq alone or in any combination,2575,
Alutiiq Tribe of Old Harbor alone,1374,
Alutiiq Tribe of Old Harbor alone or in any combination,2576,
Amazon Indian alone,2519,
Amazon Indian alone or in any combination,3721,
American Eskimo alone,1375,
American Eskimo alone or in any combination,2577,
American Indian alone,1631,
American Indian alone or in any combination,2833,
"American Indian alone or in any combination, not specified",4054,4053
"American Indian alone, not specified",4053,4054
"American Indian and Alaska Native alone or in any combination, not specified",3762,2560
"American Indian and Alaska Native alone, not specified",2560,3762
Amuzgo alone,2475,
Amuzgo alone or in any combination,3677,
Andean Indian alone,2520,
Andean Indian alone or in any combination,3722,
Andorran alone,1005,
Andorran alone or in any combination,1116,
Angolan alone,1226,
Angolan alone or in any combination,1294,
Angoon Community Association alone,1376,
Angoon Community Association alone or in any combination,2578,
Anguillan alone,1270,
Anguillan alone or in any combination,1338,
Ani-stohini/Unami alone,1645,
Ani-stohini/Unami alone or in any combination,2847,
Antiguan and Barbudan alone,1271,
Antiguan and Barbudan alone or in any combination,1339,
Anvik Village alone,1377,
Anvik Village alone or in any combination,2579,
Apache alone,1646,
Apache alone or in any combination,2848,
Apache Tribe of Oklahoma alone,1647,
Apache Tribe of Oklahoma alone or in any combination,2849,
Arab alone,1073,
Arab alone or in any combination,1184,
Arapaho alone,1648,
Arapaho alone or in any combination,2850,
"Arapaho Tribe of the Wind River Reservation, Wyoming alone",1649,
"Arapaho Tribe of the Wind River Reservation, Wyoming alone or in any combination",2851,
Arawak alone,2521,
Arawak alone or in any combination,3723,
Arctic Slope Corporation alone,1378,
Arctic Slope Corporation alone or in any combination,2580,
Arctic Village alone,1379,
Arctic Village alone or in any combination,2581,
Argentinean Indian alone,2522,
Argentinean Indian alone or in any combination,3724,
Arikara (Sahnish) alone,2164,
Arikara (Sahnish) alone or in any combination,3366,
Armenian alone,1006,
Armenian alone or in any combination,1117,
Aroostook Band of Micmacs alone,1650,
Aroostook Band of Micmacs alone or in any combination,2852,
Aruban alone,3962,
Aruban alone or in any combination,3988,
Asa'carsarmiut Tribe alone,1380,
Asa'carsarmiut Tribe alone or in any combination,2582,
Asian Indian alone,3782,
Asian Indian alone or in any combination,3839,
Assiniboine alone,1651,
Assiniboine alone or in any combination,2853,
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana alone",1652,
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana alone or in any combination",2854,
Assonet Band of the Wampanoag Nation alone,1653,
Assonet Band of the Wampanoag Nation alone or in any combination,2855,
Assyrian alone,1074,
Assyrian alone or in any combination,1185,
Atakapa alone,1654,
Atakapa alone or in any combination,2856,
Atqasuk Village (Atkasook) alone,1381,
Atqasuk Village (Atkasook) alone or in any combination,2583,
Atsina alone,1655,
Atsina alone or in any combination,2857,
"Augustine Band of Cahuilla Indians, California alone",1656,
"Augustine Band of Cahuilla Indians, California alone or in any combination",2858,
Australian alone,1102,
Australian alone or in any combination,1213,
Austrian alone,1007,
Austrian alone or in any combination,1118,
Aymara alone,2523,
Aymara alone or in any combination,3725,
Azerbaijani alone,1008,
Azerbaijani alone or in any combination,1119,
Aztec alone,2476,
Aztec alone or in any combination,3678,
Bad River Band of the Lake Superior Tribe alone,1657,
Bad River Band of the Lake Superior Tribe alone or in any combination,2859,
Bahamian alone,1272,
Bahamian alone or in any combination,1340,
Bahraini alone,1075,
Bahraini alone or in any combination,1186,
Bangladeshi alone,3783,
Bangladeshi alone or in any combination,3840,
Bannock alone,1658,
Bannock alone or in any combination,2860,
Barbadian alone,1273,
Barbadian alone or in any combination,1341,
Barona Group of Capitan Grande Band alone,1659,
Barona Group of Capitan Grande Band alone or in any combination,2861,
Basque alone,1009,
Basque alone or in any combination,1120,
Batchewana First Nation alone,2258,
Batchewana First Nation alone or in any combination,3460,
Bay Mills Indian Community alone,1660,
Bay Mills Indian Community alone or in any combination,2862,
Bear River Band of Rohnerville Rancheria alone,1661,
Bear River Band of Rohnerville Rancheria alone or in any combination,2863,
Beardys and Okemasis Band alone,2259,
Beardys and Okemasis Band alone or in any combination,3461,
Beausoleil alone,2260,
Beausoleil alone or in any combination,3462,
Beaver Creek Indians alone,1662,
Beaver Creek Indians alone or in any combination,2864,
Beaver Village alone,1382,
Beaver Village alone or in any combination,2584,
Beecher Bay alone,2261,
Beecher Bay alone or in any combination,3463,
Belarusian alone,1010,
Belarusian alone or in any combination,1121,
Belgian alone,1011,
Belgian alone or in any combination,1122,
Belizean alone,3963,
Belizean alone or in any combination,3989,
Belizean Indian alone,2449,
Belizean Indian alone or in any combination,3651,
Bella Coola (Nuxalk Nation) alone,2262,
Bella Coola (Nuxalk Nation) alone or in any combination,3464,
Beninese alone,1227,
Beninese alone or in any combination,1295,
Beothuk alone,2263,
Beothuk alone or in any combination,3465,
Berber alone,1076,
Berber alone or in any combination,1187,
Bering Straits Inupiat alone,1383,
Bering Straits Inupiat alone or in any combination,2585,
Bermudan alone,3964,
Bermudan alone or in any combination,3990,
Berry Creek Rancheria of Maidu Indians alone,1663,
Berry Creek Rancheria of Maidu Indians alone or in any combination,2865,
Bhutanese alone,3784,
Bhutanese alone or in any combination,3841,
Big Cove alone,2264,
Big Cove alone or in any combination,3466,
Big Grassy alone,2265,
Big Grassy alone or in any combination,3467,
Big Lagoon Rancheria alone,1664,
Big Lagoon Rancheria alone or in any combination,2866,
Big Pine Paiute Tribe of the Owens Valley alone,1665,
Big Pine Paiute Tribe of the Owens Valley alone or in any combination,2867,
Big Sandy Rancheria of Western Mono Indians of California alone,1666,
Big Sandy Rancheria of Western Mono Indians of California alone or in any combination,2868,
Big Valley Band of Pomo Indians of the Big Valley Rancheria alone,1667,
Big Valley Band of Pomo Indians of the Big Valley Rancheria alone or in any combination,2869,
Bigstone Cree Nation alone,2266,
Bigstone Cree Nation alone or in any combination,3468,
Biloxi alone,1668,
Biloxi alone or in any combination,2870,
Biloxi-Chitimacha Confederation alone,1669,
Biloxi-Chitimacha Confederation alone or in any combination,2871,
Biracial alone,3973,
Biracial alone or in any combination,3999,
Birch Creek Tribe alone,1384,
Birch Creek Tribe alone or in any combination,2586,
Bishop Paiute Tribe alone,1670,
Bishop Paiute Tribe alone or in any combination,2872,
Bisseau-Guinean alone,1228,
Bisseau-Guinean alone or in any combination,1296,
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone,1671,
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone or in any combination,2873,
Blue Lake Rancheria alone,1672,
Blue Lake Rancheria alone or in any combination,2874,
Bois Forte Band (Nett Lake) alone,1673,
Bois Forte Band (Nett Lake) alone or in any combination,2875,
Bolivian Indian alone,2524,
Bolivian Indian alone or in any combination,3726,
Bonaparte Band alone,2267,
Bonaparte Band alone or in any combination,3469,
Bosnian and Herzegovinian alone,1012,
Bosnian and Herzegovinian alone or in any combination,1123,
Boston Bar First Nation alone,2268,
Boston Bar First Nation alone or in any combination,3470,
Brazilian alone,3965,
Brazilian alone or in any combination,3991,
Brazilian Indian alone,2525,
Brazilian Indian alone or in any combination,3727,
Bridge River alone,2269,
Bridge River alone or in any combination,3471,
Bridgeport Paiute Indian Colony alone,1674,
Bridgeport Paiute Indian Colony alone or in any combination,2876,
Bristol Bay Aleut alone,1386,
Bristol Bay Aleut alone or in any combination,2588,
Bristol Bay alone,1385,
Bristol Bay alone or in any combination,2587,
British alone,1013,
British alone or in any combination,1124,
British Islander alone,1014,
British Islander alone or in any combination,1125,
British Virgin Islander alone,1274,
British Virgin Islander alone or in any combination,1342,
Brokenhead Ojibway Nation alone,2270,
Brokenhead Ojibway Nation alone or in any combination,3472,
Brotherton alone,1675,
Brotherton alone or in any combination,2877,
Brule Sioux alone,1676,
Brule Sioux alone or in any combination,2878,
Bruneian alone,3794,
Bruneian alone or in any combination,3851,
Buena Vista Rancheria of Me-Wuk Indians of California alone,1677,
Buena Vista Rancheria of Me-Wuk Indians of California alone or in any combination,2879,
Buffalo Point Band alone,2271,
Buffalo Point Band alone or in any combination,3473,
Bulgarian alone,1015,
Bulgarian alone or in any combination,1126,
Burkinabe alone,1229,
Burkinabe alone or in any combination,1297,
Burmese alone,3795,
Burmese alone or in any combination,3852,
Burns Paiute Tribe alone,1678,
Burns Paiute Tribe alone or in any combination,2880,
Burt Lake Band of Ottawa and Chippewa Indians alone,1679,
Burt Lake Band of Ottawa and Chippewa Indians alone or in any combination,2881,
Burundian alone,1230,
Burundian alone or in any combination,1298,
Buryat alone,3808,
Buryat alone or in any combination,3865,
Cabazon Band of Mission Indians alone,1680,
Cabazon Band of Mission Indians alone or in any combination,2882,
Cabo Verdean alone,3966,
Cabo Verdean alone or in any combination,3992,
Cachil Dehe Band of Wintun Indians of the Colusa Rancheria alone,1681,
Cachil Dehe Band of Wintun Indians of the Colusa Rancheria alone or in any combination,2883,
Caddo Adais Indians alone,1682,
Caddo Adais Indians alone or in any combination,2884,
Caddo alone,1683,
Caddo alone or in any combination,2885,
Caddo Nation of Oklahoma alone,1684,
Caddo Nation of Oklahoma alone or in any combination,2886,
Cahto Indian Tribe of the Laytonville Rancheria alone,1685,
Cahto Indian Tribe of the Laytonville Rancheria alone or in any combination,2887,
Cahuilla alone,1686,
Cahuilla alone or in any combination,2888,
Cahuilla Band of Indians alone,1687,
Cahuilla Band of Indians alone or in any combination,2889,
Cajun alone,1103,
Cajun alone or in any combination,1214,
Cakchiquel alone,2450,
Cakchiquel alone or in any combination,3652,
Caldwell alone,2272,
Caldwell alone or in any combination,3474,
California Valley Miwok Tribe alone,1688,
California Valley Miwok Tribe alone or in any combination,2890,
Calista alone,1387,
Calista alone or in any combination,2589,
Cambodian alone,3796,
Cambodian alone or in any combination,3853,
Cameroonian alone,1231,
Cameroonian alone or in any combination,1299,
Campbell River Band alone,2273,
Campbell River Band alone or in any combination,3475,
Campo Band of Diegueno Mission Indians alone,1689,
Campo Band of Diegueno Mission Indians alone or in any combination,2891,
Canadian alone,1104,
Canadian alone or in any combination,1215,
Canadian Indian alone,2274,
Canadian Indian alone or in any combination,3476,
"Canadian Indian alone or in any combination, not elsewhere classified",3648,2446
"Canadian Indian alone, not elsewhere classified",2446,3648
Canadian Indian and French American Indian alone,2250,
Canadian Indian and French American Indian alone or in any combination,3452,
Canela alone,2526,
Canela alone or in any combination,3728,
Cape Mudge Band alone,2275,
Cape Mudge Band alone or in any combination,3477,
Capitan Grande Band of Diegueno Mission Indians alone,1690,
Capitan Grande Band of Diegueno Mission Indians alone or in any combination,2892,
Carcross/Tagish First Nation alone,2276,
Carcross/Tagish First Nation alone or in any combination,3478,
Carib alone,2548,
Carib alone or in any combination,3750,
Caribbean alone,1269,
Caribbean alone or in any combination,1337,
Caribbean Indian alone,2549,
Caribbean Indian alone (all tribes),2547,3749
Caribbean Indian alone or in any combination,3751,
Caribbean Indian alone or in any combination (all tribes),3749,2547
"Caribbean Indian alone or in any combination, not elsewhere classified ",3756,2554
"Caribbean Indian alone, not elsewhere classified ",2554,3756
Caribou alone,2277,
Caribou alone or in any combination,3479,
Carolinian alone,3895,
Carolinian alone or in any combination,3937,
Carpatho Rusyn alone,1016,
Carpatho Rusyn alone or in any combination,1127,
Carrier Nation alone,2278,
Carrier Nation alone or in any combination,3480,
Carry the Kettle Band alone,2279,
Carry the Kettle Band alone or in any combination,3481,
Catawba Indian Nation alone,1691,
Catawba Indian Nation alone or in any combination,2893,
Cayman Islander alone,3968,
Cayman Islander alone or in any combination,3994,
Cayuga Nation alone,1692,
Cayuga Nation alone or in any combination,2894,
Cayuse alone,1693,
Cayuse alone or in any combination,2895,
Cedarville Rancheria alone,1694,
Cedarville Rancheria alone or in any combination,2896,
Celilo alone,1695,
Celilo alone or in any combination,2897,
Celtic alone,1017,
Celtic alone or in any combination,1128,
Central African alone,1232,
Central African alone or in any combination,1300,
Central American Indian alone,2451,
Central American Indian alone (all tribes),2448,3650
Central American Indian alone or in any combination,3653,
Central American Indian alone or in any combination (all tribes),3650,2448
"Central American Indian alone or in any combination, not elsewhere classified ",3674,2472
"Central American Indian alone, not elsewhere classified ",2472,3674
Central Asian alone,3772,
Central Asian alone or in any combination,3829,
Central Council of the Tlingit and Haida Indian Tribes alone,1388,
Central Council of the Tlingit and Haida Indian Tribes alone or in any combination,2590,
Central Pomo alone,1696,
Central Pomo alone or in any combination,2898,
Chadian alone,1233,
Chadian alone or in any combination,1301,
Chaldean alone,1077,
Chaldean alone or in any combination,1188,
Chalkyitsik Village alone,1389,
Chalkyitsik Village alone or in any combination,2591,
Chaloklowa Chickasaw alone,1697,
Chaloklowa Chickasaw alone or in any combination,2899,
Chamorro alone,3896,
Chamorro alone or in any combination,3938,
Chappaquiddick Tribe of the Wampanoag Indian Nation alone,1698,
Chappaquiddick Tribe of the Wampanoag Indian Nation alone or in any combination,2900,
Chatino alone,2477,
Chatino alone or in any combination,3679,
Chaubunagungamaug Nipmuck alone,1699,
Chaubunagungamaug Nipmuck alone or in any combination,2901,
Cheam Band alone,2280,
Cheam Band alone or in any combination,3482,
Cheesh-Na Tribe (Chistochina) alone,1390,
Cheesh-Na Tribe (Chistochina) alone or in any combination,2592,
Chemainus First Nation alone,2281,
Chemainus First Nation alone or in any combination,3483,
Chemakuan alone,1700,
Chemakuan alone or in any combination,2902,
Chemehuevi Indian Tribe alone,1701,
Chemehuevi Indian Tribe alone or in any combination,2903,
Cher-Ae Heights Indian Community of the Trinidad Rancheria alone,1702,
Cher-Ae Heights Indian Community of the Trinidad Rancheria alone or in any combination,2904,
Cher-O-Creek Intratribal Indians alone,1703,
Cher-O-Creek Intratribal Indians alone or in any combination,2905,
Cheroenhaka (Nottoway) alone,1704,
Cheroenhaka (Nottoway) alone or in any combination,2906,
Cherokee Alabama alone,1705,
Cherokee Alabama alone or in any combination,2907,
Cherokee alone,1706,
Cherokee alone or in any combination,2908,
Cherokee Bear Clan of South Carolina alone,1708,
Cherokee Bear Clan of South Carolina alone or in any combination,2910,
Cherokee Nation alone,1707,
Cherokee Nation alone or in any combination,2909,
Cherokee of Georgia alone,1709,
Cherokee of Georgia alone or in any combination,2911,
Cherokee Tribe of Northeast Alabama alone,1710,
Cherokee Tribe of Northeast Alabama alone or in any combination,2912,
Chevak Native Village alone,1391,
Chevak Native Village alone or in any combination,2593,
Cheyenne alone,1711,
Cheyenne alone or in any combination,2913,
"Cheyenne and Arapaho Tribes, Oklahoma alone",1712,
"Cheyenne and Arapaho Tribes, Oklahoma alone or in any combination",2914,
"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota alone",1713,
"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota alone or in any combination",2915,
Chichimeca alone,2478,
Chichimeca alone or in any combination,3680,
Chickahominy Indian Tribe - Eastern Division alone,1715,
Chickahominy Indian Tribe - Eastern Division alone or in any combination,2917,
Chickahominy Indian Tribe alone,1714,
Chickahominy Indian Tribe alone or in any combination,2916,
Chickaloon Native Village alone,1392,
Chickaloon Native Village alone or in any combination,2594,
Chicken Ranch Rancheria of Me-Wuk Indians alone,1717,
Chicken Ranch Rancheria of Me-Wuk Indians alone or in any combination,2919,
Chignik Bay Tribal Council (Native Village of Chignik) alone,1393,
Chignik Bay Tribal Council (Native Village of Chignik) alone or in any combination,2595,
Chignik Lake Village alone,1394,
Chignik Lake Village alone or in any combination,2596,
Chilcotin Nation alone,2282,
Chilcotin Nation alone or in any combination,3484,
Chilean Indian alone,2527,
Chilean Indian alone or in any combination,3729,
Chilkat Indian Village (Klukwan) alone,1395,
Chilkat Indian Village (Klukwan) alone or in any combination,2597,
Chilkoot Indian Association (Haines) alone,1396,
Chilkoot Indian Association (Haines) alone or in any combination,2598,
Chimariko alone,1718,
Chimariko alone or in any combination,2920,
Chinantec alone,2479,
Chinantec alone or in any combination,3681,
"Chinese, except Taiwanese alone",3765,
"Chinese, except Taiwanese alone or in any combination",3822,
Chinik Eskimo Community (Golovin) alone,1397,
Chinik Eskimo Community (Golovin) alone or in any combination,2599,
Chinook alone,1719,
Chinook alone or in any combination,2921,
Chippewa alone,1720,
Chippewa alone or in any combination,2922,
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana alone",1721,
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana alone or in any combination",2923,
Chippewa of Sarnia alone,2283,
Chippewa of Sarnia alone or in any combination,3485,
Chippewa of the Thames alone,2284,
Chippewa of the Thames alone or in any combination,3486,
Chippewa/Ojibwe Canadian alone,2285,
Chippewa/Ojibwe Canadian alone or in any combination,3487,
Chitimacha Tribe of Louisiana alone,1722,
Chitimacha Tribe of Louisiana alone or in any combination,2924,
Chocho alone,2480,
Chocho alone or in any combination,3682,
Choco alone,2452,
Choco alone or in any combination,3654,
Choctaw alone,1723,
Choctaw alone or in any combination,2925,
Choctaw-Apache Community of Ebarb alone,1724,
Choctaw-Apache Community of Ebarb alone or in any combination,2926,
Chugach Aleut alone,1398,
Chugach Aleut alone or in any combination,2600,
Chugach Corporation alone,1399,
Chugach Corporation alone or in any combination,2601,
Chuloonawick Native Village alone,1400,
Chuloonawick Native Village alone or in any combination,2602,
Chumash alone,1726,
Chumash alone or in any combination,2928,
Chuukese alone,3897,
Chuukese alone or in any combination,3939,
Circle Native Community alone,1401,
Circle Native Community alone or in any combination,2603,
"Citizen Potawatomi Nation, Oklahoma alone",1727,
"Citizen Potawatomi Nation, Oklahoma alone or in any combination",2929,
Clatsop alone,1728,
Clatsop alone or in any combination,2930,
Clayoquot alone,2286,
Clayoquot alone or in any combination,3488,
Clear Lake alone,1729,
Clear Lake alone or in any combination,2931,
Clifton Choctaw Tribe of Louisiana alone,1730,
Clifton Choctaw Tribe of Louisiana alone or in any combination,2932,
Cloverdale Rancheria of Pomo Indians of California alone,1731,
Cloverdale Rancheria of Pomo Indians of California alone or in any combination,2933,
Cochimi alone,2481,
Cochimi alone or in any combination,3683,
Cocopah Tribe of Arizona alone,1732,
Cocopah Tribe of Arizona alone or in any combination,2934,
Coeur D'Alene alone,1733,
Coeur D'Alene alone or in any combination,2935,
Coharie Indian Tribe alone,1734,
Coharie Indian Tribe alone or in any combination,2936,
Cold Lake First Nations alone,2287,
Cold Lake First Nations alone or in any combination,3489,
Cold Springs Rancheria of Mono Indians alone,1735,
Cold Springs Rancheria of Mono Indians alone or in any combination,2937,
Coldwater Band alone,2288,
Coldwater Band alone or in any combination,3490,
Colombian Indian alone,2528,
Colombian Indian alone or in any combination,3730,
Colorado River Indian Tribe alone,1736,
Colorado River Indian Tribe alone or in any combination,2938,
Columbia alone,1737,
Columbia alone or in any combination,2939,
Columbia River Chinook alone,1738,
Columbia River Chinook alone or in any combination,2940,
"Comanche Nation, Oklahoma alone",1739,
"Comanche Nation, Oklahoma alone or in any combination",2941,
Comorian alone,3967,
Comorian alone or in any combination,3993,
Comox Band alone,2289,
Comox Band alone or in any combination,3491,
Concho alone,2482,
Concho alone or in any combination,3684,
Confederated Salish and Kootenai Tribes of the Flathead Nation alone,1740,
Confederated Salish and Kootenai Tribes of the Flathead Nation alone or in any combination,2942,
Confederated Tribes and Bands of the Yakama Nation alone,1741,
Confederated Tribes and Bands of the Yakama Nation alone or in any combination,2943,
Confederated Tribes of Siletz Indians of Oregon alone,1742,
Confederated Tribes of Siletz Indians of Oregon alone or in any combination,2944,
Confederated Tribes of the Chehalis Reservation alone,1743,
Confederated Tribes of the Chehalis Reservation alone or in any combination,2945,
Confederated Tribes of the Colville Reservation alone,1744,
Confederated Tribes of the Colville Reservation alone or in any combination,2946,
"Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw Indians alone",1745,
"Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw Indians alone or in any combination",2947,
Confederated Tribes of the Goshute Reservation alone,1746,
Confederated Tribes of the Goshute Reservation alone or in any combination,2948,
Confederated Tribes of the Grand Ronde Community of Oregon alone,1747,
Confederated Tribes of the Grand Ronde Community of Oregon alone or in any combination,2949,
Confederated Tribes of the Umatilla Indian Reservation alone,1748,
Confederated Tribes of the Umatilla Indian Reservation alone or in any combination,2950,
Confederated Tribes of Warm Springs alone,1749,
Confederated Tribes of Warm Springs alone or in any combination,2951,
Congolese alone,1234,
Congolese alone or in any combination,1302,
Cook Inlet alone,1402,
Cook Inlet alone or in any combination,2604,
Cook Islander alone,3879,
Cook Islander alone or in any combination,3921,
Coos alone,1750,
Coos alone or in any combination,2952,
Copper River alone,1403,
Copper River alone or in any combination,2605,
Coquille Indian Tribe alone,1751,
Coquille Indian Tribe alone or in any combination,2953,
Coquitlam Band (Kwikwetlem First Nation) alone,2290,
Coquitlam Band (Kwikwetlem First Nation) alone or in any combination,3492,
Cora alone,2483,
Cora alone or in any combination,3685,
Cornish alone,1018,
Cornish alone or in any combination,1129,
Costa Rican Indian alone,2453,
Costa Rican Indian alone or in any combination,3655,
Costanoan alone,1752,
Costanoan alone or in any combination,2954,
Cote First Nation alone,2291,
Cote First Nation alone or in any combination,3493,
Couchiching First Nation alone,2292,
Couchiching First Nation alone or in any combination,3494,
Coushatta alone,1753,
Coushatta alone or in any combination,2955,
Coushatta Tribe of Louisiana alone,1754,
Coushatta Tribe of Louisiana alone or in any combination,2956,
Cow Creek Band of Umpqua Tribe of Indians alone,1755,
Cow Creek Band of Umpqua Tribe of Indians alone or in any combination,2957,
Cowessess Band alone,2293,
Cowessess Band alone or in any combination,3495,
Cowichan alone,2294,
Cowichan alone or in any combination,3496,
Cowlitz Indian Tribe alone,1756,
Cowlitz Indian Tribe alone or in any combination,2958,
Coyote Valley Band of Pomo Indians of California alone,1757,
Coyote Valley Band of Pomo Indians of California alone or in any combination,2959,
Craig Tribal Association alone,1404,
Craig Tribal Association alone or in any combination,2606,
Cree alone,1758,
Cree alone or in any combination,2960,
Cree Canadian alone,2295,
Cree Canadian alone or in any combination,3497,
Croatan alone,1759,
Croatan alone or in any combination,2961,
Croatian alone,1019,
Croatian alone or in any combination,1130,
Cross Lake First Nation alone,2296,
Cross Lake First Nation alone or in any combination,3498,
"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota alone",1760,
"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota alone or in any combination",2962,
Crow Tribe of Montana alone,1761,
Crow Tribe of Montana alone or in any combination,2963,
Cuban alone,3982,
Cuban alone or in any combination,4008,
Cuban Indian alone,2550,
Cuban Indian alone or in any combination,3752,
Cuicatec alone,2484,
Cuicatec alone or in any combination,3686,
Cumberland County Association for Indian People alone,1762,
Cumberland County Association for Indian People alone or in any combination,2964,
Cupeno alone,1763,
Cupeno alone or in any combination,2965,
Curve Lake Band alone,2297,
Curve Lake Band alone or in any combination,3499,
Curyung Tribal Council (Native Village of Dillingham) alone,1405,
Curyung Tribal Council (Native Village of Dillingham) alone or in any combination,2607,
Cypriot alone,1020,
Cypriot alone or in any combination,1131,
Czech alone,1021,
Czech alone or in any combination,1132,
Danish alone,1022,
Danish alone or in any combination,1133,
Delaware (Lenni-Lenape) alone,1764,
Delaware (Lenni-Lenape) alone or in any combination,2966,
Delaware Nation alone,1765,
Delaware Nation alone or in any combination,2967,
"Delaware Tribe of Indians, Oklahoma alone",1766,
"Delaware Tribe of Indians, Oklahoma alone or in any combination",2968,
Dene Band Nwt (NW Territory) alone,2298,
Dene Band Nwt (NW Territory) alone or in any combination,3500,
Dene Canadian alone,2299,
Dene Canadian alone or in any combination,3501,
Ditidaht Band alone,2300,
Ditidaht Band alone or in any combination,3502,
Djiboutian alone,1235,
Djiboutian alone or in any combination,1303,
Dogrib alone,2301,
Dogrib alone or in any combination,3503,
Dominica Islander alone,1275,
Dominica Islander alone or in any combination,1343,
Dominican Indian alone,2551,
Dominican Indian alone or in any combination,3753,
Douglas Indian Association alone,1406,
Douglas Indian Association alone or in any combination,2608,
Doyon alone,1407,
Doyon alone or in any combination,2609,
"Dry Creek Rancheria Band of Pomo Indians, California alone",1767,
"Dry Creek Rancheria Band of Pomo Indians, California alone or in any combination",2969,
Duckwater Shoshone Tribe alone,1768,
Duckwater Shoshone Tribe alone or in any combination,2970,
Dutch alone,1023,
Dutch alone or in any combination,1134,
Duwamish alone,1769,
Duwamish alone or in any combination,2971,
Eagle Lake Band alone,2302,
Eagle Lake Band alone or in any combination,3504,
East Asian alone,3764,
East Asian alone or in any combination,3821,
East of the River Shawnee alone,1770,
East of the River Shawnee alone or in any combination,2972,
Easter Islander alone,3880,
Easter Islander alone or in any combination,3922,
Eastern Band of Cherokee Indians alone,1771,
Eastern Band of Cherokee Indians alone or in any combination,2973,
Eastern Cree alone,2303,
Eastern Cree alone or in any combination,3505,
Eastern Creek alone,1772,
