NAME,ID,MATCH,US_POP,CATEGORY ,,
Russian alone or in any combination,1166,1055,"2,412,131",European,,
Scandinavian alone or in any combination,1167,1056,"1,217,333",European,,
Scots-Irish alone or in any combination,1168,1057,"794,478",European,,
Scottish alone or in any combination,1169,1058,"8,422,613",European,,
Serbian alone or in any combination,1170,1059,"204,380",European,,
Slavic alone or in any combination,1171,1060,"180,316",European,,
Slovak alone or in any combination,1172,1061,"691,455",European,,
Slovenian alone or in any combination,1173,1062,"196,513",European,,
Swedish alone or in any combination,1174,1063,"3,839,796",European,,
Swiss alone or in any combination,1175,1064,"946,179",European,,
Tatar alone or in any combination,1176,1065,"5,262",European,,
Turkish alone or in any combination,1177,1066,"245,926",European,,
Ukrainian alone or in any combination,1178,1067,"953,509",European,,
Welsh alone or in any combination,1179,1068,"1,977,383",European,,
Other European alone or in any combination ,1180,1069,"4,566,161",European,,
Middle Eastern or North African alone or in any combination,1182,1071,"3,522,478",Middle Eastern,,
Algerian alone or in any combination,1183,1072,"38,186",Middle Eastern,,
Arab alone or in any combination,1184,1073,"238,921",Middle Eastern,,
Assyrian alone or in any combination,1185,1074,"57,944",Middle Eastern,,
Bahraini alone or in any combination,1186,1075,973,Middle Eastern,,
Berber alone or in any combination,1187,1076,"3,871",Middle Eastern,,
Chaldean alone or in any combination,1188,1077,"59,045",Middle Eastern,,
Egyptian alone or in any combination,1189,1078,"396,854",Middle Eastern,,
Emirati alone or in any combination,1190,1079,"2,480",Middle Eastern,,
Iranian alone or in any combination,1191,1080,"568,564",Middle Eastern,,
Iraqi alone or in any combination,1192,1081,"212,875",Middle Eastern,,
Israeli alone or in any combination,1193,1082,"190,660",Middle Eastern,,
Jordanian alone or in any combination,1194,1083,"121,917",Middle Eastern,,
Kurdish alone or in any combination,1195,1084,"25,466",Middle Eastern,,
Kuwaiti alone or in any combination,1196,1085,"6,923",Middle Eastern,,
Lebanese alone or in any combination,1197,1086,"685,672",Middle Eastern,,
Libyan alone or in any combination,1198,1087,"13,681",Middle Eastern,,
Moroccan alone or in any combination,1199,1088,"147,528",Middle Eastern,,
Omani alone or in any combination,1200,1089,"1,336",Middle Eastern,,
Palestinian alone or in any combination,1201,1090,"174,887",Middle Eastern,,
Qatari alone or in any combination,1202,1091,650,Middle Eastern,,
Saudi alone or in any combination,1203,1092,"30,563",Middle Eastern,,
Syriac alone or in any combination,1204,1093,"2,413",Middle Eastern,,
Syrian alone or in any combination,1205,1094,"222,196",Middle Eastern,,
Tunisian alone or in any combination,1206,1095,"15,270",Middle Eastern,,
Yazidi alone or in any combination,1207,1096,630,Middle Eastern,,
Yemeni alone or in any combination,1208,1097,"91,288",Middle Eastern,,
Other Middle Eastern or North African alone or in any combination ,1209,1098,"292,612",Middle Eastern,,
Other White alone or in any combination,1211,1100,"101,683,636",Other White,,
Afrikaner alone or in any combination,1212,1101,"2,272",Other White,,
Australian alone or in any combination,1213,1102,"119,495",Other White,,
Cajun alone or in any combination,1214,1103,"132,624",Other White,,
Canadian alone or in any combination,1215,1104,"580,491",Other White,,
French Canadian alone or in any combination,1216,1105,"933,740",Other White,,
Greenlandic alone or in any combination,1217,1106,214,Other White,,
New Zealander alone or in any combination,1218,1107,"25,232",Other White,,
Pennsylvania German alone or in any combination,1219,1108,"169,821",Other White,,
"Other White alone or in any combination, specified ",1220,1109,"3,149,168",Other White,,
"Other White alone or in any combination, not specified",1222,1111,"96,576,586",Other White,,
African American alone or in any combination,1292,1224,"24,569,479",African American,,
Sub-Saharan African alone or in any combination,1293,1225,"2,818,785",Sub-Saharan African,,
Angolan alone or in any combination,1294,1226,"8,111",Sub-Saharan African,,
Beninese alone or in any combination,1295,1227,"10,417",Sub-Saharan African,,
Bisseau-Guinean alone or in any combination,1296,1228,788,Sub-Saharan African,,
Burkinabe alone or in any combination,1297,1229,"7,524",Sub-Saharan African,,
Burundian alone or in any combination,1298,1230,"9,786",Sub-Saharan African,,
Cameroonian alone or in any combination,1299,1231,"77,058",Sub-Saharan African,,
Central African alone or in any combination,1300,1232,"2,326",Sub-Saharan African,,
Chadian alone or in any combination,1301,1233,"1,962",Sub-Saharan African,,
Congolese alone or in any combination,1302,1234,"110,537",Sub-Saharan African,,
Djiboutian alone or in any combination,1303,1235,"1,493",Sub-Saharan African,,
Equatorial Guinean alone or in any combination,1304,1236,838,Sub-Saharan African,,
Eritrean alone or in any combination,1305,1237,"69,060",Sub-Saharan African,,
Ethiopian alone or in any combination,1306,1238,"325,214",Sub-Saharan African,,
Gabonese alone or in any combination,1307,1239,"2,378",Sub-Saharan African,,
Gambian alone or in any combination,1308,1240,"16,228",Sub-Saharan African,,
Ghanaian alone or in any combination,1309,1241,"172,558",Sub-Saharan African,,
Guinean alone or in any combination,1310,1242,"16,924",Sub-Saharan African,,
Ivoirian alone or in any combination,1311,1243,"20,857",Sub-Saharan African,,
Kenyan alone or in any combination,1312,1244,"104,708",Sub-Saharan African,,
Liberian alone or in any combination,1313,1245,"71,379",Sub-Saharan African,,
Malagasy alone or in any combination,1314,1246,"3,882",Sub-Saharan African,,
Malawian alone or in any combination,1315,1247,"3,407",Sub-Saharan African,,
Malian alone or in any combination,1316,1248,"16,467",Sub-Saharan African,,
Motswana alone or in any combination,1317,1249,"1,303",Sub-Saharan African,,
Mozambican alone or in any combination,1318,1250,"1,312",Sub-Saharan African,,
Namibian alone or in any combination,1319,1251,"1,193",Sub-Saharan African,,
Nigerian (Nigeria) alone or in any combination,1320,1252,"604,077",Sub-Saharan African,,
Nigerien (Niger) alone or in any combination,1321,1253,"3,099",Sub-Saharan African,,
Rwandan alone or in any combination,1322,1254,"13,537",Sub-Saharan African,,
Senegalese alone or in any combination,1323,1255,"31,690",Sub-Saharan African,,
Sierra Leonean alone or in any combination,1324,1256,"33,666",Sub-Saharan African,,
Somali alone or in any combination,1325,1257,"221,043",Sub-Saharan African,,
South African alone or in any combination,1326,1258,"86,528",Sub-Saharan African,,
South Sudanese alone or in any combination,1327,1259,"13,061",Sub-Saharan African,,
Sudanese alone or in any combination,1328,1260,"63,138",Sub-Saharan African,,
Swazi alone or in any combination,1329,1261,"1,380",Sub-Saharan African,,
Tanzanian alone or in any combination,1330,1262,"15,002",Sub-Saharan African,,
Togolese alone or in any combination,1331,1263,"23,684",Sub-Saharan African,,
Ugandan alone or in any combination,1332,1264,"25,939",Sub-Saharan African,,
Zambian alone or in any combination,1333,1265,"7,806",Sub-Saharan African,,
Zimbabwean alone or in any combination,1334,1266,"16,005",Sub-Saharan African,,
Other Sub-Saharan African alone or in any combination ,1335,1267,"671,807",Sub-Saharan African,,
Caribbean alone or in any combination,1337,1269,"2,615,988",Caribbean,,
Anguillan alone or in any combination,1338,1270,918,Caribbean,,
Antiguan and Barbudan alone or in any combination,1339,1271,"17,765",Caribbean,,
Bahamian alone or in any combination,1340,1272,"40,758",Caribbean,,
Barbadian alone or in any combination,1341,1273,"53,745",Caribbean,,
British Virgin Islander alone or in any combination,1342,1274,938,Caribbean,,
Dominica Islander alone or in any combination,1343,1275,"8,906",Caribbean,,
Grenadian alone or in any combination,1344,1276,"25,910",Caribbean,,
Haitian alone or in any combination,1345,1277,"1,032,737",Caribbean,,
Jamaican alone or in any combination,1346,1278,"1,047,117",Caribbean,,
Kittian and Nevisian alone or in any combination,1347,1279,"7,846",Caribbean,,
Montserratian alone or in any combination,1348,1280,"2,126",Caribbean,,
St. Lucian alone or in any combination,1349,1281,"19,048",Caribbean,,
Trinidadian and Tobagonian alone or in any combination,1350,1282,"194,364",Caribbean,,
U.S. Virgin Islander alone or in any combination,1351,1283,"16,305",Caribbean,,
Vincentian alone or in any combination,1352,1284,"13,829",Caribbean,,
West Indian alone or in any combination,1353,1285,"119,806",Caribbean,,
Other Caribbean alone or in any combination ,1354,1286,"55,197",Caribbean,,
Other Black or African American alone or in any combination,1356,1288,"17,167,725",African American or Other Black,,
"Other Black or African American alone or in any combination, specified",1357,1289,"172,369",African American or Other Black,,
"Other Black or African American alone or in any combination, not specified",1358,1290,"17,017,541",African American or Other Black,,
Alaska Native alone or in any combination,2562,1360,"241,797",Alaska Native,,
Agdaagux Tribe of King Cove alone or in any combination,2563,1361,315,Alaska Native,,
"Ahtna, Inc. Corporation alone or in any combination",2564,1362,469,Alaska Native,,
Akiachak Native Community alone or in any combination,2565,1363,723,Alaska Native,,
Akiak Native Community alone or in any combination,2566,1364,169,Alaska Native,,
Alanvik alone or in any combination,2567,1365,X,Alaska Native,,
Alaskan Athabascan alone or in any combination,2568,1366,"11,514",Alaska Native,,
Alatna Village alone or in any combination,2569,1367,61,Alaska Native,,
Aleut alone or in any combination,2570,1368,"13,805",Alaska Native,,
Aleut Corporation alone or in any combination,2571,1369,310,Alaska Native,,
Alexander alone or in any combination,2572,1370,48,Alaska Native,,
Algaaciq Native Village (St. Mary's) alone or in any combination,2573,1371,419,Alaska Native,,
Allakaket Village alone or in any combination,2574,1372,245,Alaska Native,,
Alutiiq alone or in any combination,2575,1373,939,Alaska Native,,
Alutiiq Tribe of Old Harbor alone or in any combination,2576,1374,376,Alaska Native,,
American Eskimo alone or in any combination,2577,1375,421,Alaska Native,,
Angoon Community Association alone or in any combination,2578,1376,200,Alaska Native,,
Anvik Village alone or in any combination,2579,1377,170,Alaska Native,,
Arctic Slope Corporation alone or in any combination,2580,1378,629,Alaska Native,,
Arctic Village alone or in any combination,2581,1379,92,Alaska Native,,
Asa'carsarmiut Tribe alone or in any combination,2582,1380,903,Alaska Native,,
Atqasuk Village (Atkasook) alone or in any combination,2583,1381,81,Alaska Native,,
Beaver Village alone or in any combination,2584,1382,170,Alaska Native,,
Bering Straits Inupiat alone or in any combination,2585,1383,"1,047",Alaska Native,,
Birch Creek Tribe alone or in any combination,2586,1384,72,Alaska Native,,
Bristol Bay alone or in any combination,2587,1385,"1,032",Alaska Native,,
Bristol Bay Aleut alone or in any combination,2588,1386,83,Alaska Native,,
Calista alone or in any combination,2589,1387,"1,701",Alaska Native,,
Central Council of the Tlingit and Haida Indian Tribes alone or in any combination,2590,1388,"3,003",Alaska Native,,
Chalkyitsik Village alone or in any combination,2591,1389,66,Alaska Native,,
Cheesh-Na Tribe (Chistochina) alone or in any combination,2592,1390,139,Alaska Native,,
Chevak Native Village alone or in any combination,2593,1391,805,Alaska Native,,
Chickaloon Native Village alone or in any combination,2594,1392,110,Alaska Native,,
Chignik Bay Tribal Council (Native Village of Chignik) alone or in any combination,2595,1393,121,Alaska Native,,
Chignik Lake Village alone or in any combination,2596,1394,100,Alaska Native,,
Chilkat Indian Village (Klukwan) alone or in any combination,2597,1395,111,Alaska Native,,
Chilkoot Indian Association (Haines) alone or in any combination,2598,1396,67,Alaska Native,,
Chinik Eskimo Community (Golovin) alone or in any combination,2599,1397,137,Alaska Native,,
Chugach Aleut alone or in any combination,2600,1398,588,Alaska Native,,
Chugach Corporation alone or in any combination,2601,1399,291,Alaska Native,,
Chuloonawick Native Village alone or in any combination,2602,1400,53,Alaska Native,,
Circle Native Community alone or in any combination,2603,1401,105,Alaska Native,,
Cook Inlet alone or in any combination,2604,1402,"1,522",Alaska Native,,
Copper River alone or in any combination,2605,1403,17,Alaska Native,,
Craig Tribal Association alone or in any combination,2606,1404,61,Alaska Native,,
Curyung Tribal Council (Native Village of Dillingham) alone or in any combination,2607,1405,"1,151",Alaska Native,,
Douglas Indian Association alone or in any combination,2608,1406,18,Alaska Native,,
Doyon alone or in any combination,2609,1407,"1,375",Alaska Native,,
Egegik Village alone or in any combination,2610,1408,102,Alaska Native,,
Eklutna Native Village alone or in any combination,2611,1409,198,Alaska Native,,
Emmonak Village alone or in any combination,2612,1410,620,Alaska Native,,
Eskimo alone or in any combination,2613,1411,"9,737",Alaska Native,,
Evansville Village (Bettles Field) alone or in any combination,2614,1412,61,Alaska Native,,
Galena Village (Louden Village) alone or in any combination,2615,1413,481,Alaska Native,,
Greenland Inuit alone or in any combination,2616,1414,81,Alaska Native,,
Gulkana Village Council alone or in any combination,2617,1415,36,Alaska Native,,
Haida alone or in any combination,2618,1416,"5,172",Alaska Native,,
Holy Cross Tribe alone or in any combination,2619,1417,329,Alaska Native,,
Hoonah Indian Association alone or in any combination,2620,1418,305,Alaska Native,,
Hughes Village alone or in any combination,2621,1419,132,Alaska Native,,
Hydaburg Cooperative Association alone or in any combination,2622,1420,111,Alaska Native,,
Igiugig Village alone or in any combination,2623,1421,59,Alaska Native,,
Huslia Village alone or in any combination,2624,1422,473,Alaska Native,,
Inuit alone or in any combination,2625,1423,"4,332",Alaska Native,,
Inupiat (Inupiaq) alone or in any combination,2626,1424,"10,501",Alaska Native,,
Inupiat Community of the Arctic Slope alone or in any combination,2627,1425,247,Alaska Native,,
Iqugmuit Traditional Council alone or in any combination,2628,1426,420,Alaska Native,,
Ivanof Bay Village alone or in any combination,2629,1427,47,Alaska Native,,
Kaguyak Village alone or in any combination,2630,1428,13,Alaska Native,,
Kaktovik Village (Barter Island) alone or in any combination,2631,1429,254,Alaska Native,,
Kasigluk Traditional Elders Council alone or in any combination,2632,1430,572,Alaska Native,,
Kawerak alone or in any combination,2633,1431,21,Alaska Native,,
Kenaitze Indian Tribe alone or in any combination,2634,1432,"1,176",Alaska Native,,
Ketchikan Indian Corporation alone or in any combination,2635,1433,"1,416",Alaska Native,,
King Cove alone or in any combination,2636,1434,39,Alaska Native,,
King Island Native Community alone or in any combination,2637,1435,372,Alaska Native,,
King Salmon Tribe alone or in any combination,2638,1436,33,Alaska Native,,
Klawock Cooperative Association alone or in any combination,2639,1437,126,Alaska Native,,
Knik Tribe alone or in any combination,2640,1438,282,Alaska Native,,
Kodiak alone or in any combination,2641,1439,326,Alaska Native,,
Kokhanok Village alone or in any combination,2642,1440,101,Alaska Native,,
Koniag Aleut alone or in any combination,2643,1441,607,Alaska Native,,
Koyukuk Native Village alone or in any combination,2644,1442,484,Alaska Native,,
Lake Minchumina alone or in any combination,2645,1443,8,Alaska Native,,
Levelock Village alone or in any combination,2646,1444,93,Alaska Native,,
Lime Village alone or in any combination,2647,1445,15,Alaska Native,,
Manley Hot Springs Village alone or in any combination,2648,1446,30,Alaska Native,,
Manokotak Village alone or in any combination,2649,1447,165,Alaska Native,,
McGrath Native Village alone or in any combination,2650,1448,223,Alaska Native,,
Mentasta Traditional Council alone or in any combination,2651,1449,114,Alaska Native,,
"Metlakatla Indian Community, Annette Island Reserve alone or in any combination",2652,1450,"1,285",Alaska Native,,
Naknek Native Village alone or in any combination,2653,1451,210,Alaska Native,,
Nana Inupiat alone or in any combination,2654,1452,"1,555",Alaska Native,,
Native Village of Afognak alone or in any combination,2655,1453,576,Alaska Native,,
Native Village of Akhiok alone or in any combination,2656,1454,117,Alaska Native,,
Native Village of Akutan alone or in any combination,2657,1455,136,Alaska Native,,
Native Village of Aleknagik alone or in any combination,2658,1456,171,Alaska Native,,
Native Village of Ambler alone or in any combination,2659,1457,156,Alaska Native,,
Native Village of Atka alone or in any combination,2660,1458,71,Alaska Native,,
Native Village of Barrow Inupiat Traditional Government alone or in any combination,2661,1459,"3,824",Alaska Native,,
Native Village of Belkofski alone or in any combination,2662,1460,64,Alaska Native,,
Native Village of Brevig Mission alone or in any combination,2663,1461,74,Alaska Native,,
Native Village of Buckland alone or in any combination,2664,1462,642,Alaska Native,,
Native Village of Cantwell alone or in any combination,2665,1463,65,Alaska Native,,
Native Village of Chanega (Chenega) alone or in any combination,2666,1464,122,Alaska Native,,
Native Village of Chignik Lagoon alone or in any combination,2667,1465,72,Alaska Native,,
Native Village of Chitina alone or in any combination,2668,1466,111,Alaska Native,,
Native Village of Chuathbaluk alone or in any combination,2669,1467,59,Alaska Native,,
Native Village of Council alone or in any combination,2670,1468,284,Alaska Native,,
Native Village of Deering alone or in any combination,2671,1469,115,Alaska Native,,
Native Village of Diomede (Inalik) alone or in any combination,2672,1470,177,Alaska Native,,
Native Village of Eagle alone or in any combination,2673,1471,125,Alaska Native,,
Native Village of Eek alone or in any combination,2674,1472,108,Alaska Native,,
Native Village of Ekuk alone or in any combination,2675,1473,76,Alaska Native,,
Native Village of Ekwok alone or in any combination,2676,1474,135,Alaska Native,,
Native Village of Elim alone or in any combination,2677,1475,431,Alaska Native,,
Native Village of Eyak (Cordova) alone or in any combination,2678,1476,597,Alaska Native,,
Native Village of False Pass alone or in any combination,2679,1477,40,Alaska Native,,
Native Village of Fort Yukon alone or in any combination,2680,1478,530,Alaska Native,,
Native Village of Gakona alone or in any combination,2681,1479,45,Alaska Native,,
Native Village of Gambell alone or in any combination,2682,1480,731,Alaska Native,,
Native Village of Georgetown alone or in any combination,2683,1481,39,Alaska Native,,
Native Village of Goodnews Bay alone or in any combination,2684,1482,228,Alaska Native,,
Native Village of Hamilton alone or in any combination,2685,1483,31,Alaska Native,,
Native Village of Hooper Bay (Naparyarmiut) alone or in any combination,2686,1484,"1,476",Alaska Native,,
Native Village of Kanatak alone or in any combination,2687,1485,100,Alaska Native,,
Native Village of Karluk alone or in any combination,2688,1486,51,Alaska Native,,
Native Village of Kiana alone or in any combination,2689,1487,454,Alaska Native,,
Native Village of Kipnuk alone or in any combination,2690,1488,699,Alaska Native,,
Native Village of Kivalina alone or in any combination,2691,1489,483,Alaska Native,,
Native Village of Kluti Kaah (Copper Center) alone or in any combination,2692,1490,87,Alaska Native,,
Native Village of Kobuk alone or in any combination,2693,1491,155,Alaska Native,,
Native Village of Kongiganak alone or in any combination,2694,1492,139,Alaska Native,,
Native Village of Kotzebue alone or in any combination,2695,1493,"1,830",Alaska Native,,
Native Village of Koyuk alone or in any combination,2696,1494,170,Alaska Native,,
Native Village of Kwigillingok alone or in any combination,2697,1495,519,Alaska Native,,
Native Village of Kwinhagak (Quinhagak) alone or in any combination,2698,1496,598,Alaska Native,,
Native Village of Larsen Bay alone or in any combination,2699,1497,185,Alaska Native,,
Native Village of Marshall (Fortuna Ledge) alone or in any combination,2700,1498,455,Alaska Native,,
Native Village of Mary's Igloo alone or in any combination,2701,1499,128,Alaska Native,,
Native Village of Mekoryuk alone or in any combination,2702,1500,147,Alaska Native,,
Native Village of Minto alone or in any combination,2703,1501,309,Alaska Native,,
Native Village of Nanwalek (English Bay) alone or in any combination,2704,1502,235,Alaska Native,,
Native Village of Napaimute alone or in any combination,2705,1503,53,Alaska Native,,
Native Village of Napakiak alone or in any combination,2706,1504,361,Alaska Native,,
Native Village of Napaskiak alone or in any combination,2707,1505,500,Alaska Native,,
Native Village of Nelson Lagoon alone or in any combination,2708,1506,35,Alaska Native,,
Native Village of Nightmute alone or in any combination,2709,1507,149,Alaska Native,,
Native Village of Nikolski alone or in any combination,2710,1508,35,Alaska Native,,
Native Village of Noatak alone or in any combination,2711,1509,683,Alaska Native,,
Native Village of Nuiqsut (aka Nooiksut) alone or in any combination,2712,1510,471,Alaska Native,,
Native Village of Nunam Iqua alone or in any combination,2713,1511,155,Alaska Native,,
Native Village of Nunapitchuk alone or in any combination,2714,1512,630,Alaska Native,,
Native Village of Ouzinkie alone or in any combination,2715,1513,341,Alaska Native,,
Native Village of Paimiut alone or in any combination,2716,1514,14,Alaska Native,,
Native Village of Perryville alone or in any combination,2717,1515,127,Alaska Native,,
Native Village of Pilot Point alone or in any combination,2718,1516,84,Alaska Native,,
Native Village of Point Hope alone or in any combination,2719,1517,927,Alaska Native,,
Native Village of Point Lay alone or in any combination,2720,1518,210,Alaska Native,,
Native Village of Port Graham alone or in any combination,2721,1519,202,Alaska Native,,
Native Village of Port Heiden alone or in any combination,2722,1520,118,Alaska Native,,
Native Village of Port Lions alone or in any combination,2723,1521,294,Alaska Native,,
Native Village of Ruby alone or in any combination,2724,1522,313,Alaska Native,,
Native Village of Saint Michael alone or in any combination,2725,1523,122,Alaska Native,,
Native Village of Savoonga alone or in any combination,2726,1524,921,Alaska Native,,
Native Village of Scammon Bay alone or in any combination,2727,1525,339,Alaska Native,,
Native Village of Selawik alone or in any combination,2728,1526,965,Alaska Native,,
Native Village of Shaktoolik alone or in any combination,2729,1527,224,Alaska Native,,
Native Village of Shishmaref alone or in any combination,2730,1528,238,Alaska Native,,
Native Village of Shungnak alone or in any combination,2731,1529,170,Alaska Native,,
Native Village of Stevens alone or in any combination,2732,1530,130,Alaska Native,,
Native Village of Tanacross alone or in any combination,2733,1531,181,Alaska Native,,
Native Village of Tanana alone or in any combination,2734,1532,597,Alaska Native,,
Native Village of Tatitlek alone or in any combination,2735,1533,67,Alaska Native,,
Native Village of Tazlina alone or in any combination,2736,1534,35,Alaska Native,,
Native Village of Teller alone or in any combination,2737,1535,151,Alaska Native,,
Native Village of Tetlin alone or in any combination,2738,1536,246,Alaska Native,,
Native Village of Tuntutuliak alone or in any combination,2739,1537,491,Alaska Native,,
Native Village of Tununak alone or in any combination,2740,1538,277,Alaska Native,,
Native Village of Tyonek alone or in any combination,2741,1539,321,Alaska Native,,
Native Village of Unalakleet alone or in any combination,2742,1540,"1,141",Alaska Native,,
Native Village of Unga alone or in any combination,2743,1541,151,Alaska Native,,
Native Village of Wales alone or in any combination,2744,1542,461,Alaska Native,,
Native Village of White Mountain alone or in any combination,2745,1543,386,Alaska Native,,
Nenana Native Association alone or in any combination,2746,1544,315,Alaska Native,,
New Koliganek Village Council alone or in any combination,2747,1545,73,Alaska Native,,
New Stuyahok Village alone or in any combination,2748,1546,222,Alaska Native,,
Newhalen Village alone or in any combination,2749,1547,179,Alaska Native,,
Newtok Village alone or in any combination,2750,1548,66,Alaska Native,,
Nikolai Village alone or in any combination,2751,1549,100,Alaska Native,,
Ninilchik Village alone or in any combination,2752,1550,434,Alaska Native,,
Nome Eskimo Community alone or in any combination,2753,1551,"3,786",Alaska Native,,
Nondalton Village alone or in any combination,2754,1552,185,Alaska Native,,
Noorvik Native Community alone or in any combination,2755,1553,898,Alaska Native,,
Northway Village alone or in any combination,2756,1554,323,Alaska Native,,
Nulato Village alone or in any combination,2757,1555,551,Alaska Native,,
Nunakauyarmiut Tribe (Toksook Bay) alone or in any combination,2758,1556,791,Alaska Native,,
Organized Village of Grayling (Holikachuk) alone or in any combination,2759,1557,193,Alaska Native,,
Organized Village of Kake alone or in any combination,2760,1558,346,Alaska Native,,
Organized Village of Kasaan alone or in any combination,2761,1559,15,Alaska Native,,
Organized Village of Kwethluk alone or in any combination,2762,1560,284,Alaska Native,,
Organized Village of Saxman alone or in any combination,2763,1561,91,Alaska Native,,
Orutsararmiut Traditional Native Council alone or in any combination,2764,1562,"1,245",Alaska Native,,
Oscarville Traditional Village alone or in any combination,2765,1563,66,Alaska Native,,
Pauloff Harbor Village alone or in any combination,2766,1564,79,Alaska Native,,
Pedro Bay Village alone or in any combination,2767,1565,56,Alaska Native,,
Pelican alone or in any combination,2768,1566,7,Alaska Native,,
Petersburg Indian Association alone or in any combination,2769,1567,68,Alaska Native,,
Pilot Station Traditional Village alone or in any combination,2770,1568,308,Alaska Native,,
Pitka's Point Traditional Council alone or in any combination,2771,1569,131,Alaska Native,,
Platinum Traditional Village alone or in any combination,2772,1570,40,Alaska Native,,
Portage Creek Village (Ohgsenakale) alone or in any combination,2773,1571,259,Alaska Native,,
Qagan Tayagungin Tribe of Sand Point Village alone or in any combination,2774,1572,404,Alaska Native,,
Qawalangin Tribe of Unalaska alone or in any combination,2775,1573,311,Alaska Native,,
Rampart Village alone or in any combination,2776,1574,199,Alaska Native,,
Saint George Island alone or in any combination,2777,1575,151,Alaska Native,,
Saint Paul Island alone or in any combination,2778,1576,271,Alaska Native,,
Salamatof Tribe alone or in any combination,2779,1577,106,Alaska Native,,
Sealaska Corporation (Southeast Alaska) alone or in any combination,2780,1578,602,Alaska Native,,
Seldovia Village Tribe alone or in any combination,2781,1579,330,Alaska Native,,
Shageluk Native Village alone or in any combination,2782,1580,125,Alaska Native,,
Siberian Yupik alone or in any combination,2783,1581,337,Alaska Native,,
Sitka Tribe of Alaska alone or in any combination,2784,1582,932,Alaska Native,,
Skagway Village alone or in any combination,2785,1583,31,Alaska Native,,
Slana alone or in any combination,2786,1584,6,Alaska Native,,
South Naknek Village alone or in any combination,2787,1585,83,Alaska Native,,
Stebbins Community Association alone or in any combination,2788,1586,679,Alaska Native,,
Sugpiaq alone or in any combination,2789,1587,160,Alaska Native,,
Sun'aq Tribe of Kodiak alone or in any combination,2790,1588,"1,054",Alaska Native,,
Takotna Village alone or in any combination,2791,1589,39,Alaska Native,,
Tanana Chiefs alone or in any combination,2792,1590,157,Alaska Native,,
Tangirnaq Native Village alone or in any combination,2793,1591,270,Alaska Native,,
Telida Village alone or in any combination,2794,1592,6,Alaska Native,,
Tenakee Springs alone or in any combination,2795,1593,0,Alaska Native,,
Tlingit alone or in any combination,2796,1594,"22,601",Alaska Native,,
Tok alone or in any combination,2797,1595,4,Alaska Native,,
